Year,PHILIPPINES,NATIONAL CAPITAL REGION (NCR),NCR - Manila,NCR - Second District,NCR - Third District,NCR - Fourth District,CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,Benguet,Ifugao,Kalinga,Mountain Province,Apayao,REGION I - ILOCOS,Ilocos Norte,Ilocos Sur,La Union,Pangasinan,REGION II - CAGAYAN VALLEY,Batanes,Cagayan,Isabela,Nueva Vizcaya,Quirino,REGION III - CENTRAL LUZON,Bataan,Bulacan,Nueva Ecija,Pampanga,Tarlac,Zambales,Aurora,REGION IVA - CALABARZON,Batangas,Cavite,Laguna,Quezon,Rizal,REGION IVB - MIMAROPA,Marinduque,Occidental Mindoro,Oriental Mindoro,Palawan,Romblon,REGION V - BICOL,Albay,Camarines Norte,Camarines Sur,Catanduanes,Masbate,Sorsogon,REGION VI - WESTERN VISAYAS,Aklan,Antique,Capiz,Iloilo,Negros Occidental,Guimaras,REGION VII - CENTRAL VISAYAS,Bohol,Cebu,Negros Oriental,Siquijor,REGION VIII - EASTERN VISAYAS,Eastern Samar,Leyte,Northern Samar,Samar,Southern Leyte,Biliran,REGION IX - ZAMBOANGA PENINSULA,Zamboanga Del Norte,Zamboanga Del Sur,Zamboanga Sibugay,Isabela City,REGION X - NORTHERN MINDANAO,Bukidnon,Camiguin,Lanao Del Norte,Misamis Occidental,Misamis Oriental,REGION XI - DAVAO,Davao ,Davao Del Sur,Davao Occidental,Davao Oriental,Compostela Valley,REGION XII - SOCCSKSARGEN,Cotabato,South Cotabato,Sultan Kudarat,Sarangani,Cotabato City,AUTONOMOUS REGION IN MUSLIM MINDANAO,Basilan,Lanao Del Sur,Maguindanao,Sulu,Tawi-Tawi,REGION XIII - CARAGA,Agusan Del Norte,Agusan Del Sur,Surigao Del Norte,Surigao Del Sur,Dinagat Island
2006,103.5,74.3,58.9,85.1,90,55.7,50.2,48.9,18.5,144.2,59.8,128.2,0,100.8,76.9,114.2,34.2,118.7,87.8,0,93.5,102.8,61.4,0,80,104.3,121.9,78.5,39.6,56.3,76.3,112.5,101.3,37.1,93.6,102.5,123,160.2,117,82.5,116.1,61.6,187.7,115.5,165.8,175,187.4,154.9,102.3,168.6,179.2,105.8,115.5,69.6,108.6,115.2,85.8,42.3,134,116.7,139.2,126.1,68.3,147,107.7,91.4,496,181.1,97.4,182,113.6,109.8,121.2,86,206.8,113.2,101.2,112.6,131.9,138.2,105.6,108.5,59.7,100,303.8,260.6,100,91.9,62.8,98.3,122.4,101.9,126.9,52.2,0,72.3,47.6,77,0,135.7,128.1,87.1,192.5,144.5,271.5
2007,95.5,80.1,57.1,72.4,85.7,101,53.6,112.1,35.5,54,28.4,127.4,0,85.8,82.6,76.6,63.2,94.1,53.3,0,57.8,62.5,22.8,29.1,68.8,101.6,70.1,91,38.8,46.4,76.5,206.6,85.7,29.4,75.3,87,121.6,127.6,122,118,135.6,72.9,187.7,70.7,156.1,172,218.7,134.1,172.5,145.1,140.9,101.4,48.1,56.6,123.6,120.5,110,76.1,115.8,95.6,122.3,126.6,0,136.2,103.5,94,340.4,243.5,92.9,37.6,124.2,88.6,117.3,218.6,0,86.4,74.6,0,138.2,104.4,68.3,95.1,105.5,74.7,169.7,145.3,114.8,90.2,38.3,131.6,96.7,116.5,59.2,25.4,0,0,0,62,116,167.4,179.4,103.5,185.1,237.6,81.8
2008,97,65.7,70.3,61,73.2,63.1,29.3,42.3,29.1,28,28.2,0,51.6,97.2,90,70.7,82.2,108,75.2,0,92.1,74.5,42.8,58.5,80.7,41.2,110.9,84.2,49,63.6,120.4,98.5,88.4,52.4,94.7,80.5,128.1,95.4,133.1,155.1,179.1,104.5,121.5,146.9,136.7,163.5,147.9,127.4,75.9,161.3,102.4,98.9,50.2,109.4,112,101.5,125.3,142.9,110.7,73.6,120.4,139.1,64.8,134.7,31.2,118.9,274.6,190.5,115.1,104.7,132.6,153.2,141.8,85.7,0,98.5,78.9,0,115.7,173.9,87.4,111.9,137.6,101.7,108,102.8,116.7,89.1,71.2,94.5,108.3,83.4,128,76.1,122.7,0,80.8,127.5,100.7,150.7,150,107.9,162,202.1,159.9
2009,91.6,66.2,65.8,64.9,68.3,66.4,57.2,111.1,42.4,109.4,26.7,33,56.1,66,67.9,89.4,33.2,69.1,76.9,0,117.4,61.5,21.9,90,69.1,84.3,99.9,56.4,38.6,41.9,116.3,50.5,94.9,58.8,87.1,82.6,132.6,126.3,127.1,201.4,117.2,80.8,171.8,91.7,133.9,115.4,235.2,127.1,115.7,142.6,102.7,78.8,58.2,76.5,85,80.4,90.2,115.1,101.4,104.9,100,142.9,128.5,125.2,68.7,103,258.3,153.6,128.9,109.2,145.8,78.6,177.7,177.7,0,92.9,83.8,160.2,127,61,91.6,105.6,118.7,94.5,321,139.1,73.3,88.9,37.4,127.4,64.7,177.4,0,111.1,452.5,163.5,40.3,0,127.2,124.3,94.2,114.9,105.7,143,473.6
2010,96.4,88.1,73.9,79.3,99.7,98.8,47.8,63,30.5,0,106.9,66.5,103.9,95.7,81.3,91.5,67.1,105.8,62.8,326.8,78.4,58.4,41.8,30.2,69.4,69.8,76.9,97.8,54.3,38.1,68.1,101.2,102.7,61.4,108.7,89.5,139.4,122.1,103.1,101.3,143.4,68.8,133.3,53.1,118.9,92.3,149.7,110.3,108.6,149.4,141.4,93.9,85.8,104.5,74.3,98.4,110.8,105.3,96,67.1,104.6,90.4,0,115.9,81.8,78.3,237.5,210.6,82,96.7,140.1,80.1,162.2,164.3,96.3,96.7,86.4,0,75.9,105.3,119.7,118.6,127.1,106.7,457.2,145.9,83.7,84.4,30,108.2,59.5,238.7,0,17.5,160.5,0,0,0,0,145.4,165.3,111.2,128.2,95.8,617.3
2011,84.1,66.3,45.1,67.3,70.5,74.2,35.8,0,24.8,52.8,26.4,0,260,77.6,109.1,85.4,103.9,64.6,63,0,91.8,51.7,31.8,58.6,65.3,56.4,74.3,65.8,53.3,55.9,96.3,47.2,87.7,58.8,79.6,84.9,108.2,113.1,87.6,80.2,81.9,85,106.9,56.1,116.9,100.6,169.5,106.2,88.9,172.7,88.8,76.6,77.5,65.6,91.2,77.6,120.2,34.4,90.1,79.7,91.2,97.5,187.1,108.4,90,88.3,304.4,84.4,70,63.7,124.3,121.4,130.6,105.6,148.6,86.6,114.4,50.1,69.7,106.5,64.4,76.1,91.8,42.7,197.5,98.5,120.9,86,50.6,74.6,114.7,235.9,0,78.2,82.9,0,294.7,0,0,102.9,148.5,84.5,57.9,62.8,323.6
2012,80.8,61.9,67.1,72,57.2,49.9,47.1,64.3,36.3,26.1,53,66.9,91.4,70.5,64.7,121.4,48.5,66.7,58.3,361,56.8,51.4,62.8,90.3,61.1,33.3,85.1,70.8,40.3,27.1,70.8,173.3,78.6,61.1,96.5,50.6,86.9,98.3,106.8,20.6,124.6,103,129.4,97.1,108.5,121.4,140.3,94.8,70.9,120.1,97.6,72.9,114.8,74.7,55.7,69.9,84.5,33.3,74,68.1,76.6,113.2,0,157.3,104.9,106.2,452.5,169.8,97.7,204.3,109,58.3,127.6,122.5,133.7,89,126.6,0,98.4,58.9,67.3,79.2,80.1,52.2,97.7,83.8,166.6,77.2,102.5,67.8,45.1,58.7,103.7,67.3,0,45.2,36,243,215.1,121.3,122.7,53.3,217.5,103.6,304
2013,86.4,89.5,105.7,81.4,94.1,87,63,110.1,49.3,52,77.8,34.3,103.1,57.8,56.7,63.1,35.6,62.5,77,0,96.1,77.3,42.7,55.3,54.2,54.2,82.7,51.5,31.4,44.2,42.1,76.4,87.5,40.2,94.8,79.8,89.3,126.9,70.1,106.8,105.3,35.5,87.1,19.5,102.7,106.3,117,91.7,140.7,127.2,78,93.6,152.3,150.2,106.3,65.3,109.7,34.3,101.8,41.5,115.7,87.4,132.1,109.7,74.4,84.9,181.3,132.3,85.6,236.4,98.1,103.3,109.3,61.4,0,92.4,124.4,104.5,75.7,78.2,77.2,96.2,93.3,85.7,95.8,139.7,110.5,74.1,49.3,87.5,83.4,110.2,73.7,38.4,0,30.2,27.9,136.6,0,147.8,214.9,127,114.8,113.1,159.1
2014,93.7,88,81.2,84.4,78.3,104.9,55.8,93.2,44.5,52.5,0,36.5,211.1,67.1,23.3,102.4,60.1,68.8,64.2,0,52.4,85.4,32,55.9,67.2,95.9,60.2,86.6,41.3,60.8,103.9,98.6,95.9,51.5,93.9,104.9,97.8,125,116.3,46.7,149.3,130.1,121.5,61.6,119.2,136.4,142.4,98.4,90.9,129.5,127.6,74.8,78.2,77.3,92.1,70.8,123.4,35.3,117.5,58.3,131.8,121,68.6,124.3,70.8,99.4,198.3,182.8,91.7,167.2,88.9,62.7,109.2,65.6,0,90.5,106.5,0,96.3,69.6,85.1,127.2,153.2,98.1,305.7,166.7,131.1,74.9,93.8,66.1,43.7,84,97.2,67.6,351.5,88.4,51.2,0,0,114,158.6,89.1,114.2,84.8,151.5
2015,98.6,82,66.4,66.2,96.8,99.3,42.1,128.3,20,27.2,27.4,36.2,104.5,85,106.4,58.5,95.8,84.2,72.7,349.7,45.3,90.5,76.1,56.2,84.1,66.2,98.1,61.9,75.7,60.9,133,187.1,101,77.8,83.9,97.7,150.4,109.9,97.8,144.1,112.3,78.5,93.6,102.5,98.9,85.5,84.5,107.3,151.8,99.9,92.5,84.4,115.5,98.6,50.1,84,102.7,74.5,145.6,105,152.8,124.2,297.4,114.6,65.8,107.9,156.1,149.2,47.4,174.7,108.4,120.4,111.8,84,0,87.2,74.5,60.1,117.9,115.4,76,124.4,90.6,99.1,458.1,268.9,104.5,102,96.8,98.8,113.6,134.2,37.5,128.5,392.2,83.9,83.9,2970.3,2272.7,125.3,139.1,186.1,79.5,66.2,216.5
